Year,Round,DT,OverallPick,FrRnd,RoundPick,Team,Signed,Bonus,Name,Position,WAR,GamesBatted,AtBats,HomeRuns,Average,OPS,GamesPitched,Wins,Losses,ERA,WHIP,Saves,Type,DraftedFrom
2020,4,,125,FrRnd,24,Rays,Y,"$455,600 ",Tanner Murray (minors),SS,,,,,,,,,,,,,4Yr,University of California Davis (Davis CA)
2020,4,,126,FrRnd,25,Braves,Y,"$449,300 ",Spencer Strider (minors),P,,,,,,,,,,,,,4Yr,Clemson University (Clemson SC)
2020,4,,127,FrRnd,26,Athletics,Y,"$447,400 ",Dane Acker (minors),P,,,,,,,,,,,,,4Yr,University of Oklahoma (Norman OK)
2020,4,,128,FrRnd,27,Twins,Y,"$410,000 ",Marco Raya (minors),P,,,,,,,,,,,,,HS,United South HS (Laredo TX)
2020,4,,129,FrRnd,28,Yankees,N,,Beck Way (minors),P,,,,,,,,,,,,,JC,Northwest Florida State College (Niceville FL)
2020,4,,130,FrRnd,29,Dodgers,Y,"$397,500 ",Carson Taylor (minors),C,,,,,,,,,,,,,4Yr,Virginia Polytechnic Institute and State University (Blacksburg VA)
2020,4,,131,FrRnd,30,Astros,Y,"$400,000 ",Zach Daniels (minors),OF,,,,,,,,,,,,,4Yr,University of Tennessee (Knoxville TN)
2020,5,,132,FrRnd,1,Tigers,Y,"$500,000 ",Colt Keith (minors),3B,,,,,,,,,,,,,HS,Biloxi HS (Biloxi MS)
2020,5,,133,FrRnd,2,Orioles,N,,Carter Baumler (minors),P,,,,,,,,,,,,,HS,Dowling Catholic HS (West Des Moines IA)
2020,5,,134,FrRnd,3,Marlins,N,,Kyle Hurt (minors),P,,,,,,,,,,,,,4Yr,University of Southern California (Los Angeles CA)
2020,5,,135,FrRnd,4,Royals,Y,"$200,000 ",Will Klein (minors),P,,,,,,,,,,,,,4Yr,Eastern Illinois University (Charleston IL)
2020,5,,136,FrRnd,5,Blue Jays,Y,"$97,500 ",Zach Britton (minors),OF,,,,,,,,,,,,,4Yr,University of Louisville (Louisville KY)
2020,5,,137,FrRnd,6,Mariners,Y,"$406,000 ",Taylor Dollard (minors),P,,,,,,,,,,,,,4Yr,California Polytechnic State University San Luis Obispo (San Luis Obispo CA)
2020,5,,138,FrRnd,7,Pirates,Y,"$125,000 ",Logan Hofmann (minors),P,,,,,,,,,,,,,4Yr,Northwestern State University of Louisiana (Natchitoches LA)
2020,5,,139,FrRnd,8,Padres,Y,"$300,000 ",Jagger Haynes (minors),P,,,,,,,,,,,,,HS,West Columbus HS (Cerro Gordo NC)
2020,5,,140,FrRnd,9,Rockies,Y,"$394,300 ",Jack Blomgren (minors),SS,,,,,,,,,,,,,4Yr,University of Michigan (Ann Arbor MI)
2020,5,,141,FrRnd,10,Angels,Y,"$140,000 ",Adam Seminaris (minors),P,,,,,,,,,,,,,4Yr,California State University Long Beach (Long Beach CA)
2020,5,,142,FrRnd,11,White Sox,Y,"$150,000 ",Bailey Horn (minors),P,,,,,,,,,,,,,4Yr,Auburn University (Auburn AL)
2020,5,,143,FrRnd,12,Reds,Y,"$500,000 ",Joe Boyle (minors),P,,,,,,,,,,,,,4Yr,University of Notre Dame (South Bend IN)
2020,5,,144,FrRnd,13,Giants,N,,Ryan Murphy (minors),P,,,,,,,,,,,,,4Yr,Le Moyne College (Syracuse NY)
2020,5,,145,FrRnd,14,Rangers,Y,"$800,000 ",Thomas Saggese (minors),SS,,,,,,,,,,,,,HS,Carlsbad HS (Carlsbad CA)
2020,5,,146,FrRnd,15,Phillies,Y,"$100,000 ",Baron Radcliff (minors),OF,,,,,,,,,,,,,4Yr,Georgia Institute of Technology (Atlanta GA)
2020,5,,147,FrRnd,16,Cubs,Y,"$900,000 ",Koen Moreno (minors),P,,,,,,,,,,,,,HS,Panther Creek HS (Cary NC)
2020,5,,148,FrRnd,17,Red Sox,N,,Shane Drohan (minors),P,,,,,,,,,,,,,4Yr,Florida State University (Tallahassee FL)
2020,5,,149,FrRnd,18,D'backs,Y,"$100,000 ",Brandon Pfaadt (minors),P,,,,,,,,,,,,,4Yr,Bellarmine University (Louisville KY)
2020,5,,150,FrRnd,19,Mets,Y,"$20,000 ",Eric Orze (minors),P,,,,,,,,,,,,,4Yr,University of New Orleans (New Orleans LA)
2020,5,,151,FrRnd,20,Brewers,Y,"$300,000 ",Hayden Cantrelle (minors),SS,,,,,,,,,,,,,4Yr,University of Louisiana at Lafayette (Lafayette LA)
2020,5,,152,FrRnd,21,Cardinals,Y,"$100,000 ",LJ Jones (minors),OF,,,,,,,,,,,,,4Yr,California State University Long Beach (Long Beach CA)
2020,5,,153,FrRnd,22,Nationals,Y,"$100,000 ",Mitchell Parker (minors),P,,,,,,,,,,,,,JC,San Jacinto College North Campus (Houston TX)
2020,5,,154,FrRnd,23,Indians,Y,"$340,000 ",Mason Hickman (minors),P,,,,,,,,,,,,,4Yr,Vanderbilt University (Nashville TN)
2020,5,,155,FrRnd,24,Rays,Y,"$340,000 ",Jeff Hakanson (minors),P,,,,,,,,,,,,,4Yr,University of Central Florida (Orlando FL)
2020,5,,156,FrRnd,25,Braves,Y,"$847,500 ",Bryce Elder (minors),P,,,,,,,,,,,,,4Yr,University of Texas at Austin (Austin TX)
2020,5,,157,FrRnd,26,Athletics,Y,"$400,000 ",Stevie Emanuels (minors),P,,,,,,,,,,,,,4Yr,University of Washington (Seattle WA)
2020,5,,158,FrRnd,27,Twins,Y,"$270,000 ",Kala'i Rosario (minors),OF,,,,,,,,,,,,,HS,Waiakea HS (Waiakea HI)
2020,5,,159,FrRnd,28,Dodgers,Y,"$97,500 ",Gavin Stone (minors),P,,,,,,,,,,,,,4Yr,University of Central Arkansas (Conway AR)
2020,5,,160,FrRnd,29,Astros,Y,"$56,000 ",Shay Whitcomb (minors),SS,,,,,,,,,,,,,4Yr,University of California San Diego (La Jolla CA)
